漢字,読み,時代,開始年月日,開始年,開始月,開始日,終了年月日,終了年,終了月,終了日
大化,たいか,飛鳥時代,645年7月17日,645,7,17,650年3月22日,650,3,22
白雉,はくち,飛鳥時代,650年3月22日,650,3,22,654年11月24日,654,11,24
[元号制定無し],－,飛鳥時代,654年11月24日,654,11,24,686年8月14日,686,8,14
朱鳥,しゅちょう,飛鳥時代,686年8月14日,686,8,14,686年10月1日,686,10,1
[元号制定無し],－,飛鳥時代,686年10月1日,686,10,1,701年5月3日,701,5,3
大宝,たいほう,飛鳥時代,701年5月3日,701,5,3,704年6月16日,704,6,16
慶雲,けいうん,飛鳥時代,704年6月16日,704,6,16,708年2月7日,708,2,7
和銅,わどう,飛鳥時代,708年2月7日,708,2,7,715年10月3日,715,10,3
霊亀,れいき,奈良時代,715年10月3日,715,10,3,717年12月24日,717,12,24
養老,ようろう,奈良時代,717年12月24日,717,12,24,724年3月3日,724,3,3
神亀,じんき,奈良時代,724年3月3日,724,3,3,729年9月2日,729,9,2
天平,てんぴょう,奈良時代,729年9月2日,729,9,2,749年5月4日,749,5,4
天平感宝,てんぴょうかんぽう,奈良時代,749年5月4日,749,5,4,749年8月19日,749,8,19
天平勝宝,てんぴょうしょうほう,奈良時代,749年8月19日,749,8,19,757年9月6日,757,9,6
天平宝字,てんぴょうほうじ,奈良時代,757年9月6日,757,9,6,765年2月1日,765,2,1
天平神護,てんぴょうじんご,奈良時代,765年2月1日,765,2,1,767年9月13日,767,9,13
神護景雲,じんごけいうん,奈良時代,767年9月13日,767,9,13,770年10月23日,770,10,23
宝亀,ほうき,奈良時代,770年10月23日,770,10,23,781年1月30日,781,1,30
天応,てんおう,奈良時代,781年1月30日,781,1,30,782年9月30日,782,9,30
延暦,えんりゃく,奈良時代,782年9月30日,782,9,30,806年6月8日,806,6,8
大同,だいどう,平安時代,806年6月8日,806,6,8,810年10月20日,810,10,20
弘仁,こうにん,平安時代,810年10月20日,810,10,20,824年2月8日,824,2,8
天皇天長,てんちょう,平安時代,824年2月8日,824,2,8,834年2月14日,834,2,14
承和,じょうわ,平安時代,834年2月14日,834,2,14,848年7月16日,848,7,16
嘉祥,かしょう,平安時代,848年7月16日,848,7,16,851年6月1日,851,6,1
仁寿,にんじゅ,平安時代,851年6月1日,851,6,1,854年12月23日,854,12,23
斉衡,さいこう,平安時代,854年12月23日,854,12,23,857年3月20日,857,3,20
